Block Lot	Planning Neighborhood	Best Stat	Best Date	building_type_id	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	BLOCK	LOT	Location 1
3747320	Rincon Hill	BP ISSUED	06/14/2013 12:00:00 AM	4	432	The proposal is to demolish the existing structure and construct a new structure that would include a 400-foot tower, 450 dwelling units, and 450 off-street parking spaces.	ERECT 41 STORIES 432 DWELLING RESIDENTIAL/PARKING BLDG.	High Density Residential	RH DTR	767	33000	24500	0	0	0	8500	0	200605161774	04/18/2006 12:00:00 AM	05/16/2006 12:00:00 AM	85/400-R	RH DTR	04/18/2006 12:00:00 AM	Mixres	432	-2256	0	0	24500	-35256	8500	0	3747	001E	"399 Fremont St
(37.7868171, -122.3920976)"
4087037	Mission	BP ISSUED	04/30/2008 12:00:00 AM	14	2	The proposal is for a vertical alteration to add a third story to an existing two story single-family dwelling in zoning district RM-1. The project will add one additional dwelling unit and one additional off-street parking space. The front setback will not change and the third story will not extend any further into the rear yard than the existing building currently extends. The design of the third story addition will incorporate the design of the existing facade, thereby not changing the character of the existing building nor its relation to the other buildings along the block.	REMODEL GROUND AND SECOND FLOOR. THIRD FLOOR VERTICAL ADDITION. ALTER FRONTAGE AND CONSTRUCT BAY WINDOW. ADD REAR EXTERIOR STAIR.	Residential	RM-1	186	0	0	0	0	0	0	0	200604259790	11/03/2006 12:00:00 AM	04/25/2006 12:00:00 AM	40-X	RM-1	04/25/2006 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	4087	37	"2219 Bryant St
(37.758714, -122.409543)"
4786043	BVHP Area A,B	BP ISSUED	02/27/2008 12:00:00 AM	7	0	To legalize Block 4786, lot 043, a triangular lot that neither meets lot area nor lot width zoning regulations.	TO ERECT 1 STORY WARE HOUSE.	Industrial	PDR-2	902	2175	0	0	0	2175	0	0	200606073397	10/16/2006 12:00:00 AM	06/07/2006 12:00:00 AM	40-X	PDR-2	06/07/2006 12:00:00 AM	PDR	0	2175	0	0	0	2175	0	0	4786	43	"1171 Revere Av
(37.727212, -122.382449)"
5476014	BVHP Area A,B	BP REINSTATED	12/21/2011 12:00:00 AM	14	1	"Construction of 6 residential units on 4 floors of 40-foot high,  5721 sf building to be constructed on vacant lot._x000d_
====_x000d_
Zoning: RM-1_x000d_
To construct on this vacant triangular-shaped lot a new three-story-over-garage, six-unit building for seniors with three- off-street parking spaces."	ERECT 3 STORIES 1 SINGLE FAMILY BUILDING.	Residential	RM-1	905	0	0	0	0	0	0	0	200611308862	06/22/2006 12:00:00 AM	11/30/2006 12:00:00 AM	40-X	RM-1	06/22/2006 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	5476	14	"3595 Keith St
(37.719186, -122.398654)"
6567013	Central	BP ISSUED	03/13/2013 12:00:00 AM	14	2	Addition and alteration to an existing 2,620 square foot two-unit building, resulting in a 6,310 square foot two-unit building.	VERTICAL & HORIZONTAL ADDITION & ADDING ONE UNIT, NEW GARAGE.	Residential	RH-2	128	0	0	0	0	0	0	0	200606234934	06/19/2008 12:00:00 AM	06/23/2006 12:00:00 AM	40-X	RH-2	06/23/2006 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	6567	13	"3736 Cesar Chavez St
(37.74809, -122.423474)"
3752019	WSoMa	BP ISSUED	04/02/2013 12:00:00 AM	4	22	Demolition of existing one-story 6,120 sq. ft. building and construction of 22 dwelling units, 1,282 sq. ft. of retail and seven parking spaces. The new structure would be 22,515 sq. ft., five-stories, and approximately 50 feet in height. 	TO ERECT A NEW 4 STORY 22 DWELLING UNITS W/ COMMERCIAL BLDNG.	Mixed Use	RSD	664	1282	0	0	0	0	1282	0	200607146552	05/06/2008 12:00:00 AM	07/14/2006 12:00:00 AM	40-X/85-B	RSD	07/14/2006 12:00:00 AM	Mixres	22	-6120	0	0	0	-6120	0	0	3752	19	"870 Harrison St
(37.779728, -122.401244)"
3211010A	South Central, Other	BP APPROVED	06/20/2013 12:00:00 AM	4	6	The proposal is to construct a four-story residential building on a vacant lot in zoning district NC-1. The proposed building is forty feet in height and consists of six units, ranging in size from 1,162 square feet in area to 1,590 square feet in area. A garage with six independently accessible parking spaces will be located on the ground floor. The majority of properties along this block of Ocean Avenue are residential in use. The property is located in the NC-1 (Neighborhood Commercial, Cluster) District.	TO ERECT 4 STORY 6 DWELLING UNITS	Mixed Use	NC-1	55	0	0	0	0	0	0	0	200607186852	01/31/2007 12:00:00 AM	07/18/2006 12:00:00 AM	40-X	NC-1	07/18/2006 12:00:00 AM	Resident	6	0	0	0	0	0	0	0	3211	010A	"270 Ocean Av
(37.7232913, -122.442488)"
1505027	Richmond	BP ISSUED	08/11/2009 12:00:00 AM	14	2	"2007.0179: The proposal would demolish an existing single-family building constructed in 1906, and construct a new two-unit residential building._x000d_
2008.0271: new 4 story, 2 unit building"	TO ERECT 2 DWELLING UNIT WITH 3 STORY NEW BUILDING	Residential	RH-2	294	0							200608179803	03/06/2008 12:00:00 AM	08/17/2006 12:00:00 AM	40-X	RH-2	08/17/2006 12:00:00 AM	Resident	1	0							1505	27	"536 40th Av
(37.778616, -122.500423)"
6620014	Central	BP APPROVED	10/28/2009 12:00:00 AM	14	2	Demolish existing single-family house (built before 1900) and construct new two-unit dwelling.	ERECT 3 STORIES 2 DWELLING UNITS BLDG.	Residential	RH-2	113	0	0	0	0	0	0	0	200609152421	08/31/2006 12:00:00 AM	09/15/2006 12:00:00 AM	40-X	RH-2	08/31/2006 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	6620	14	"440 29th St
(37.743644, -122.429833)"
8709004	Mission Bay	BP ISSUED	06/03/2008 12:00:00 AM	10	0	Section 321 allocation for 228,000 gsf of office development in new 10-story (approximately 160') 245,500 gsf laboratory/office building with ground-floor retail, no on-site parking (off-street parking to be provided on adjacent parcel - Parcel 6).  Mission Bay South Blocks 41-43, Parcel 4.  Alexandria District - West Campus.  See Case No. 2008.0850B.	ERECT 10-STORY, TYPE-1, OFFICE, LAB, RETAIL NEW BUILDING.	Mixed Use	MB-RA	653	245000	245000						200711097802	09/29/2006 12:00:00 AM	11/09/2007 12:00:00 AM	MB-RA	MB-RA	09/29/2006 12:00:00 AM	MIPS	0	245000			245000				8709	4	"1600 Owens St
(37.769169, -122.394204)"
8720016	Mission Bay	BP ISSUED	04/23/2010 12:00:00 AM	10	0	Section 321 allocation for a total of up to 373,487 gsf of office development for three new buildings with approximately 380,999 gsf, 7,512 sf of ground floor retail space and 689 off-street parking spaces (to be located off-site on adjacent Block 27). Buildings are located at 1455 Third Street, 455 Mission Bay Blvd South and 450 South Street.  Alexandria District - North Campus.  See Case No. 2008.0850B.	NEW 10 STORY BLDG FOR OFFICE, LAB AND RETAIL CORE AND SHELL	Commercial	C-3-G	650	380999	373499				7500		200806104062	10/05/2006 12:00:00 AM	06/10/2008 12:00:00 AM	150-S/320-S	C-3-G	10/05/2006 12:00:00 AM	MIPS	0	380999			373499		7500		3837	7	"1455 03rd St
(37.771035, -122.389378)"
6168012	South Central, Other	BP ISSUED	12/31/2009 12:00:00 AM	14	2	RESIDENTIAL DEMOLITION, and construction of single family building on each lot - two residential units total.	ERECT 3 STORIES 1 DWELLING UNIT BLDG.	Residential	RH-1	30	0	0	0	0	0	0	0	200611036814	10/19/2006 12:00:00 AM	11/03/2006 12:00:00 AM	40-X	RH-1	10/19/2006 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	6168	12	"71 Bishop St
(37.718302, -122.404121)"
4937014	BVHP Area A,B	BP REINSTATED	11/04/2010 12:00:00 AM	14	1		ERECT 3 STORIES 1 DWELLING UNIT BLDG.	Residential	RH-1	890	0	0	0	0	0	0	0	200610245911		10/24/2006 12:00:00 AM	40-X	RH-1	10/24/2006 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	4937	14	"1060 Gilman Av
(37.718953, -122.389126)"
5066B003	VisVal	BP APPROVED	11/23/2009 12:00:00 AM	9	4	construction of new commercial and 4 unit building, demolition of existing buildings	DEMOLISH 1 STORY COMMERCIAL BUILDING.	Mixed Use	NC-1	875	750	0	0	0	0	750	0	200611036818	02/26/2007 12:00:00 AM	11/03/2006 12:00:00 AM	40-X	NC-1	11/03/2006 12:00:00 AM	Mixres	4	-1250	0	0	0	0	-1250	0	5066B	3	"2175 Bayshore Bl
(37.712343, -122.401304)"
6168013	South Central, Other	BP ISSUED	12/31/2009 12:00:00 AM	14	1		ERECT 3 STORIES 1 DWELLING UNIT BLDG.	Residential	RH-1	30	0	0	0	0	0	0	0	200611036809		11/03/2006 12:00:00 AM	40-X	RH-1	11/03/2006 12:00:00 AM	Resident	1	0	0	0	0	0	0	0	6168	13	"67 Bishop St
(37.71833, -122.404109)"
0025017	Northeast	BP REINSTATED	04/24/2013 12:00:00 AM	9	1	Demolition of an existing 558-sq. ft. one-story warehouse and construction of a new four-unit residential building over 5,589 sq. ft. of groundfloor retail. The new building would be four stories, approximately 40 feet in height, totaling approximately 12,029 sq. ft. The exisitng building was constructed in 1912. 	TO ERECT 3 STORIES, 1 UNIT RESIDENTIAL / COMMERCIAL BUILDING.	Commercial	C-2	847	5589	0	0	0	0	5589	0	201011295645	11/07/2006 12:00:00 AM	11/29/2010 12:00:00 AM	40-X	C-2	11/07/2006 12:00:00 AM	Mixres	1	5589	0	0	0	0	5589	0	25	17	"721 Beach St
(37.8065275, -122.4210125)"
6591022A	Central	BP APPROVED	12/29/2008 12:00:00 AM	14	1	Demo, new construction, rear yard variance	ERECT 2 STORIES SINGLE FAMILY DWELLING BLDG.	Residential	RH-2	120	0							200708311531	12/20/2006 12:00:00 AM	08/31/2007 12:00:00 AM	40-X	RH-2	12/20/2006 12:00:00 AM	Resident	1	0							6591	022A	"1413 Noe St
(37.746312, -122.431197)"
7535102	Central	BP ISSUED	09/25/2012 12:00:00 AM	4	4	See Demolition Case No. 2006.0974.  New Construction of four single family homes.  The demolition of the existing single-family home is considered under Case No. 2006.0974	ERECT ONE 3-STORY SINGLE FAMILY DWELLING	Residential	RM-1	462	0							200702063543	06/16/2011 12:00:00 AM	02/06/2007 12:00:00 AM	40-X	RM-1	02/06/2007 12:00:00 AM	Resident	3	0							7535	102	"1710 Diamond St
(37.743704, -122.435778)"
2347004G	Inner Sunset	BP APPROVED	11/27/2012 12:00:00 AM	4	10	The proposed project would demolish a 300 square foot carport/office shack, subdivide one lot into five new (25'x100') lots, and the construct two units on each lot for a total of ten dwelling units.	Multiple Permits	Residential	RH-2	115	0							200708079019	02/16/2007 12:00:00 AM	08/07/2007 12:00:00 AM	40-X	RH-2	02/16/2007 12:00:00 AM	Resident	10	0							2347	004G	"2350 19th Av
(37.7438194, -122.4756291)"
1432005	Richmond	BP ISSUED	05/16/2008 12:00:00 AM	14	2	2 new condominiums	Add 1 unit to (E) SFD to become 2FD to include: remodeling 1st flr, new parking in (E) garage; closi	Residential	RM-2	312	0							200712211157		12/21/2007 12:00:00 AM	40-X	RM-2	12/21/2007 12:00:00 AM	Resident	1	0							1432	5	"331 Arguello Bl
(37.784422, -122.459481)"
3754042	East SoMa	BP ISSUED	11/26/2012 12:00:00 AM	9	3	"The new construction of a four story mixed use building having three dwelling units over a PDR commercial ground floor.  The project is not proposing parking for the three units. Units said ""0""."	DEMOLISH  1 STORE PARKING/STORAGE BLDG.	Mixed Use	MUG	630	1853				1853			200702204428	09/06/2007 12:00:00 AM	02/20/2007 12:00:00 AM	45-X	MUG	02/20/2007 12:00:00 AM	Mixres	3	0				0			3754	42	"12 Sherman St
(37.777212, -122.406993)"
